gene_name	log2FoldChange	log2FC.shrink	pvalue	padj	de_vector	condition
CJJ81176_1096	-0.5466204592252943	-0.025416590129193842	0.5621467986364201	0.7454160460071382	0	As
CJJ81176_1097	0.4322210836730023	0.0143393540045637	0.7062789754411034	0.8446421603909987	0	As
CJJ81176_1098	-0.4900145251679968	-0.055684966972519616	0.40556685549037136	0.6265900624507325	0	As
CJJ81176_1099	0.1117549660876934	0.04605673974105574	0.6589624834352275	0.8124576150446998	0	As
CJJ81176_1100	0.13464520843161018	0.0921766486972179	0.35236318795011096	0.5726718972992526	0	As
CJJ81176_1101	-0.17758082964923633	-0.06003837099210962	0.565702180284807	0.7480077131011185	0	As
CJJ81176_1102	0.16766977604890845	0.10424828479684815	0.3427931297766692	0.5639188388438727	0	As
CJJ81176_1103	-0.1258327844478054	-0.09150689021649544	0.34943451689923616	0.5691073428132785	0	As
CJJ81176_1104	-0.012149830711001555	-0.00518635263855864	0.9548317650288083	0.9791650390136992	0	As
CJJ81176_1105	-0.6099050454155084	-0.5576046819163202	5.155442446698928e-6	1.5846202046695653e-4	-1	As
CJJ81176_1106	-0.8216851245398608	-0.602662329545408	0.003995940578843453	0.02602560555440048	-1	As
CJJ81176_1107	-0.6818529959859938	-0.5979197244556884	1.1986566050223954e-4	0.0018244233214082068	-1	As
CJJ81176_1108	-0.40782808781557245	-0.14900579761372001	0.18160626734752147	0.3752054014066717	0	As
CJJ81176_1109	0.09269375334698611	0.07792143593019739	0.321071578007289	0.5408021261348398	0	As
CJJ81176_1110	0.15665432199588958	0.13635787148329914	0.08125568602743373	0.21216089704927554	0	As
CJJ81176_1111	0.12558979167877582	0.10612579819338665	0.1877430882733017	0.38114239936827876	0	As
CJJ81176_1112	0.09774658612114688	0.029448325171245	0.7596682635108254	0.8710647843844628	0	As
CJJ81176_1113	0.7685369814230549	0.6532564291585768	3.0768259151974187e-4	0.003963593710776369	1	As
CjNC14	-3.2062884861290746	-0.026629047422095816	0.14355527009142202	NA	0	As
CJJ81176_1114	0.32028763952286204	0.30288164944962614	1.818273573033516e-5	4.137162727213922e-4	1	As
CJJ81176_1115	-0.11310542241547313	-0.07478575203333719	0.46812878166414584	0.6767853599164398	0	As
CJJ81176_1116	-0.22505347821790556	-0.16388221288072924	0.12098650381873415	0.2819603315999535	0	As
CJJ81176_1117	0.3790677640967626	0.34117929305237576	3.6057731075601673e-4	0.0043269277290722006	1	As
CJJ81176_1118	0.4971337495167928	0.2507389958085685	0.06797469439234696	0.18579042835474552	0	As
CJJ81176_1119	-0.13573513043746302	-0.09174277571448228	0.36166475591580577	0.5823401608579601	0	As
CJJ81176_1120	-0.017606277748741316	-0.00516035618251365	0.9556728415244748	0.9791650390136992	0	As
CJJ81176_1121	-0.4137468221759593	-0.0907499345816491	0.3085683510437433	0.5274260985645252	0	As
CJJ81176_1122	-0.339462766124974	-0.17818500963263045	0.14392852346522897	0.31678740340588085	0	As
CJJ81176_1123	-0.603781414914863	-0.4772836318160888	0.0031179072010098117	0.021172765178950347	-1	As
CJJ81176_1124	0.03809533054615211	0.026818088949909256	0.7806500201800417	0.8812492495846862	0	As
CJJ81176_1125	0.36160528664659275	0.0697529439997749	0.41590029007523804	0.6358266214762802	0	As
CJJ81176_1126	0.32386196437307785	0.2665236038441295	0.013343930309504228	0.06250953449799841	0	As
CJJ81176_1127	-0.041623890037036405	-0.01695230968713653	0.8611025809882917	0.926121376237868	0	As
CJJ81176_1128	-0.16019192650262318	-0.12261625132152545	0.1973312385627652	0.39331550621383915	0	As
CJJ81176_1129	0.23074317477706435	0.16226023251163219	0.1347357290481144	0.3061699056968825	0	As
CJJ81176_1130	-0.04833576191570781	-0.021285590553452912	0.8336015590731731	0.9107716888278846	0	As
CJJ81176_1131	-0.6045166103112527	-0.42768164377320417	0.010126008399617243	0.05202570884495428	0	As
CJJ81176_1132	0.13452703851029582	0.10115414752132683	0.28742949444958504	0.5055988697546917	0	As
CJJ81176_1133	0.42445920150763294	0.33942053364710956	0.007663854992614353	0.043083982585087444	1	As
CJJ81176_1134	-0.017971317366369415	-0.013679877546473254	0.868286064604928	0.9305984460636111	0	As
CJJ81176_1135	-0.18119483981185802	-0.14753752218952934	0.0949967900015487	0.2401650448524002	0	As
CJJ81176_1136	-0.3045096716222581	-0.23752612640053122	0.02851989600723627	0.10815337187159728	0	As
CJJ81176_1137	0.3948323615202007	0.35079044145446087	6.955800105543616e-4	0.006850299879532073	1	As
CJJ81176_1138	0.1687818460678803	0.14419094101969224	0.09617180186861439	0.24174031115324593	0	As
CJJ81176_1139	0.24451398627397825	0.20656972415120128	0.02540079476545672	0.1004564163184654	0	As
CJJ81176_1140	-0.08707224558020311	-0.029769860375290794	0.7674385263614196	0.8741370917385926	0	As
CJJ81176_1141	0.2106825228109316	0.1048959535454841	0.339724466813423	0.561506854582186	0	As
CJJ81176_1142	-0.13423888500990305	-0.08414353548008954	0.4269805161088436	0.6448787727143436	0	As
CJJ81176_1143	0.30905268988826307	0.26752403993824797	0.0038768616436669115	0.02549101711768939	1	As
CJJ81176_1144	0.12367498268728905	0.0793717017750369	0.44865030502056613	0.659469131376323	0	As
CJJ81176_1145	0.3724701439359539	0.22691623151952348	0.07585720005874831	0.2022777971852534	0	As
CJJ81176_1146	0.28170843904825	0.22479830002524373	0.03448261672478494	0.1209163167278475	0	As
CJJ81176_1147	0.14721995320634396	0.11436575583557988	0.2265043167129092	0.4332265970316778	0	As
CJJ81176_1148	0.28673010202217164	0.25379404638965053	0.0035355750753634646	0.023642471496323626	1	As
CJJ81176_1149	0.2431780479172922	0.17474364203921489	0.1250673167920576	0.28907379817900386	0	As
CJJ81176_1150	-0.3148523606754368	-0.18516488988766636	0.13237870574470428	0.3021945304517981	0	As
CJJ81176_1151	-0.11771698345371832	-0.05075659223069031	0.6268495837565948	0.790101058087449	0	As
CJJ81176_1152	-0.05186234748543862	-0.026236302501241506	0.8021477107958161	0.890597458374062	0	As
